#Organism/Name,TaxID,BioProject Accession,BioProject ID,Group,SubGroup,Size (Kb),GC%,Host,Segmemts,Genes,Proteins,Release Date,Modify Date,Status
Goose parvovirus,38251,PRJNA14098,14098,ssDNA viruses,Parvoviridae,5.106,46.9,vertebrates, Unknown:NC_001701.1/U25749.1,4,4,1995/12/12,2010/01/28,Complete Genome
Alcelaphine gammaherpesvirus 1,35252,PRJNA14099,14099,"dsDNA viruses, no RNA stage",Herpesviridae,130.608,46.2,vertebrates, Unknown:NC_002531.1/AF005370.1,71,71,1997/08/21,2015/02/10,Complete Genome
Horseradish curly top virus,46448,PRJNA14100,14100,ssDNA viruses,Geminiviridae,3.08,41.1,plants, Unknown:NC_002543.1/U49907.1,6,6,1996/04/04,2010/04/28,Complete Genome
Tomato rugose mosaic virus-[Ube],223360,PRJNA14101,14101,ssDNA viruses,Geminiviridae,5.194,41.3289,plants, DNA A:NC_002555.1/AF291705.1;  DNA B:NC_002556.1/AF291706.1,7,7,2000/09/25,2007/05/04,Complete Genome
Trichoplusia ni cypovirus 15,134606,PRJNA14102,14102,dsRNA viruses,Reoviridae,25.12,36.4019,invertebrates, RNA 1:NC_002557.1/AF291683.1;  RNA 10:NC_002565.1/AF291692.1;  RNA 11:NC_002566.1/AF291693.1;  RNA 2:NC_002558.1/AF291684.1;  RNA 3:NC_002559.1/AF291685.1;  RNA 4:NC_002567.1/AF291686.3;  RNA 5:NC_002560.1/AF291687.1;  RNA 6:NC_002561.1/AF291688.1;  RNA 7:NC_002562.1/AF291689.1;  RNA 8:NC_002563.1/AF291690.1;  RNA 9:NC_002564.1/AF291691.1,1,1,2000/08/14,2008/07/10,Complete Genome
Gallid alphaherpesvirus 3,35250,PRJNA14103,14103,"dsDNA viruses, no RNA stage",Herpesviridae,164.27,53.6,vertebrates, Unknown:NC_002577.1/AB049735.1,76,76,2000/10/12,2010/11/20,Complete Genome
Plutella xylostella granulovirus,98383,PRJNA14104,14104,"dsDNA viruses, no RNA stage",Baculoviridae,100.999,40.7,invertebrates, Unknown:NC_002593.1/AF270937.1,121,120,2000/10/29,2009/11/30,Complete Genome
Escherichia virus Mu,10677,PRJNA14105,14105,"dsDNA viruses, no RNA stage",Myoviridae,36.717,52.1,bacteria, Unknown:NC_000929.1/AF083977.1,55,55,1999/10/05,2009/05/06,Complete Genome
Meleagrid alphaherpesvirus 1,37108,PRJNA14106,14106,"dsDNA viruses, no RNA stage",Herpesviridae,159.16,47.6,vertebrates, Unknown:NC_002641.1/AF291866.1,79,79,2001/01/04,2010/04/23,Complete Genome
Bdellovibrio phage phiMH2K,145579,PRJNA14107,14107,ssDNA viruses,Microviridae,4.594,46.1,bacteria, Unknown:NC_002643.1/AF306496.1,11,11,2001/01/03,2009/05/06,Complete Genome
Mycobacterium phage Bxb1,148603,PRJNA14109,14109,"dsDNA viruses, no RNA stage",Siphoviridae,50.55,63.6,bacteria, Unknown:NC_002656.1/AF271693.1,86,86,2001/01/28,2015/02/10,Complete Genome
Bovine gammaherpesvirus 4,10385,PRJNA14110,14110,"dsDNA viruses, no RNA stage",Herpesviridae,108.873,41.4,vertebrates, Unknown:NC_002665.1/AF318573.1,79,79,2001/02/14,2013/03/13,Complete Genome
Lactococcus phage bIL285,151535,PRJNA14111,14111,"dsDNA viruses, no RNA stage",Siphoviridae,35.538,35.2,bacteria, Unknown:NC_002666.1/AF323668.1,62,62,2001/02/15,2007/12/20,Complete Genome
Lactococcus phage bIL310,151538,PRJNA14112,14112,"dsDNA viruses, no RNA stage",Siphoviridae,14.957,35.9,bacteria, Unknown:NC_002669.1/AF323671.1,29,29,2001/02/15,2015/02/10,Complete Genome
Lactococcus phage bIL312,151539,PRJNA14113,14113,"dsDNA viruses, no RNA stage",Siphoviridae,15.179,33,bacteria, Unknown:NC_002671.1/AF323673.1,27,27,2001/02/15,2015/02/10,Complete Genome
Ectocarpus siliculosus virus 1,37665,PRJNA14114,14114,"dsDNA viruses, no RNA stage",Phycodnaviridae,335.593,51.7,algae, Unknown:NC_002687.1/AF204951.2,240,240,2001/02/27,2015/02/10,Complete Genome
Salmonella phage HK620,155148,PRJNA14115,14115,"dsDNA viruses, no RNA stage",Podoviridae,38.297,46.7,bacteria, Unknown:NC_002730.1/AF335538.1,58,58,2001/04/03,2009/05/06,Complete Genome
Lactococcus phage TP901-1,35345,PRJNA14116,14116,"dsDNA viruses, no RNA stage",Siphoviridae,37.667,35.4,bacteria, Unknown:NC_002747.1/AF304433.1,56,56,2001/04/18,2015/02/10,Complete Genome
Discula destructiva virus 1,148880,PRJNA14117,14117,dsRNA viruses,Partitiviridae,4.861,48.69,plants, RNA 1:NC_002797.1/AF316992.1;  RNA 2:NC_002800.1/AF316993.1;  RNA 3:NC_002801.1/AF316994.2;  RNA 4:NC_002802.1/AF316995.1,2,2,2001/01/28,2009/05/06,Complete Genome
Cydia pomonella granulovirus,28289,PRJNA14118,14118,"dsDNA viruses, no RNA stage",Baculoviridae,123.5,45.3,invertebrates, Unknown:NC_002816.1/U53466.2,143,143,2001/04/02,2010/04/28,Complete Genome
Tobacco leaf curl Zimbabwe virus,223337,PRJNA14119,14119,ssDNA viruses,Geminiviridae,2.767,43.4,plants, Unknown:NC_002817.1/AF350330.1,6,6,2001/07/02,2010/04/28,Complete Genome
Ageratum yellow vein Sri Lanka virus,222079,PRJNA14120,14120,ssDNA viruses,Geminiviridae,2.748,42.6,plants, Unknown:NC_002981.1/AF314144.1,6,6,2001/07/04,2010/03/11,Complete Genome
Cucurbit leaf crumple virus,134681,PRJNA14121,14121,ssDNA viruses,Geminiviridae,5.232,44.0558,plants, DNA A:NC_002984.1/AF224760.2;  DNA B:NC_002985.1/AF224761.2,6,6,2000/02/09,2010/08/18,Complete Genome
Lumpy skin disease virus NI-2490,376849,PRJNA14122,14122,"dsDNA viruses, no RNA stage",Poxviridae,150.773,25.9,vertebrates, Unknown:NC_003027.1/AF325528.1,156,156,2001/07/22,2012/11/26,Complete Genome
Sugarcane bacilliform IM virus,362398,PRJNA14123,14123,Retro-transcribing viruses,Caulimoviridae,7.687,43.1,plants, Unknown:NC_003031.1/AJ277091.1,3,3,2001/07/26,2011/02/04,Complete Genome
Invertebrate iridescent virus 6,176652,PRJNA14124,14124,"dsDNA viruses, no RNA stage",Iridoviridae,212.482,28.6,invertebrates, Unknown:NC_003038.1/AF303741.1,463,468,2001/07/31,2006/03/30,Complete Genome
Goose circovirus,146032,PRJNA14125,14125,ssDNA viruses,Circoviridae,1.821,49.2,vertebrates, Unknown:NC_003054.1/AJ304456.1,4,4,2001/08/07,2008/12/08,Complete Genome
Porcine endogenous retrovirus E,168238,PRJNA14126,14126,Retro-transcribing viruses,Retroviridae,8.072,48,vertebrates, Unknown:NC_003059.1/AF356697.1,-,-,2001/08/12,2010/04/28,Complete Genome
Epiphyas postvittana nucleopolyhedrovirus,70600,PRJNA14127,14127,"dsDNA viruses, no RNA stage",Baculoviridae,118.584,40.7,invertebrates, Unknown:NC_003083.1/AY043265.1,137,136,2001/08/19,2010/03/11,Complete Genome
Culex nigripalpus nucleopolyhedrovirus,130556,PRJNA14128,14128,"dsDNA viruses, no RNA stage",Baculoviridae,108.252,50.9,invertebrates, Unknown:NC_003084.1/AF403738.1,109,109,2001/08/22,2009/11/30,Complete Genome
Blueberry red ringspot virus,172220,PRJNA14129,14129,Retro-transcribing viruses,Caulimoviridae,8.303,31.1,plants, Unknown:NC_003138.2/AF404509.2,8,8,2001/10/11,2010/03/11,Complete Genome
Cotton leaf curl Rajasthan virus,223259,PRJNA14130,14130,ssDNA viruses,Geminiviridae,2.754,43.1,plants, Unknown:NC_003199.1/AF363011.1,6,6,2001/06/20,2010/01/28,Complete Genome
Lactococcus phage Tuc2009,35241,PRJNA14131,14131,"dsDNA viruses, no RNA stage",Siphoviridae,38.347,36.2,bacteria, Unknown:NC_002703.1/AF109874.2,56,56,1999/06/08,2015/02/10,Complete Genome
Sulfolobus islandicus filamentous virus,176106,PRJNA14132,14132,"dsDNA viruses, no RNA stage",Lipothrixviridae,40.9,33.4,archaea, Unknown:NC_003214.2/AF440571.2,73,73,2001/11/06,2010/03/26,Complete Genome
Streptococcus phage Sfi21,64186,PRJNA14133,14133,"dsDNA viruses, no RNA stage",Siphoviridae,40.739,37.6,bacteria, Unknown:NC_000872.1/AF115103.1,50,50,1999/07/18,2015/02/10,Complete Genome
Spodoptera exigua multiple nucleopolyhedrovirus,10454,PRJNA14134,14134,"dsDNA viruses, no RNA stage",Baculoviridae,135.611,43.8,invertebrates, Unknown:NC_002169.1/AF169823.1,142,139,1999/12/29,2015/08/21,Complete Genome
Staphylococcus prophage phiPV83,129009,PRJNA14135,14135,"dsDNA viruses, no RNA stage",Siphoviridae,45.636,33.5,bacteria, Unknown:NC_002486.1/AB044554.1,65,65,2000/07/04,2015/02/10,Complete Genome
Mycoplasma virus P1,35238,PRJNA14136,14136,"dsDNA viruses, no RNA stage",Podoviridae,11.66,26.8,bacteria, Unknown:NC_002515.1/AF246223.1,11,11,2000/08/22,2009/05/06,Complete Genome
Staphylococcus virus phiSLT,130478,PRJNA14137,14137,"dsDNA viruses, no RNA stage",Siphoviridae,42.942,33.3,bacteria, Unknown:NC_002661.2/AB045978.2,61,61,2001/02/07,2015/02/10,Complete Genome
Spodoptera litura nucleopolyhedrovirus,46242,PRJNA14138,14138,"dsDNA viruses, no RNA stage",Baculoviridae,139.342,42.8,invertebrates, Unknown:NC_003102.1/AF325155.1,141,141,2001/09/11,2009/11/30,Complete Genome
Lactococcus phage bIL311,151534,PRJNA14139,14139,"dsDNA viruses, no RNA stage",Siphoviridae,14.51,34.2,bacteria, Unknown:NC_002670.1/AF323672.1,22,22,2001/02/15,2015/02/10,Complete Genome
Staphylococcus phage phiETA,106284,PRJNA14141,14141,"dsDNA viruses, no RNA stage",Siphoviridae,43.081,35.4,bacteria, Unknown:NC_003288.1/AP001553.1,66,66,2000/07/04,2009/01/29,Complete Genome
Vibrio phage K139,70734,PRJNA14144,14144,"dsDNA viruses, no RNA stage",Myoviridae,33.106,48.9,bacteria, Unknown:NC_003313.1/AF125163.2,44,44,1999/03/29,2015/02/10,Complete Genome
Temperate phage phiNIH1.1,173707,PRJNA14145,14145,"dsDNA viruses, no RNA stage",Siphoviridae,43.106,38.6,bacteria, Unknown:NC_003157.5/AY050245.2,56,56,2001/10/07,2015/10/19,Complete Genome
Sinorhizobium phage PBC5,179237,PRJNA14146,14146,"dsDNA viruses, no RNA stage",unclassified,57.416,61.5,bacteria, Unknown:NC_003324.1/AF448724.1,83,83,2001/12/20,2009/05/06,Complete Genome
Soybean crinkle leaf virus-[Japan],223251,PRJNA14149,14149,ssDNA viruses,Geminiviridae,2.737,42.8,plants, Unknown:NC_003357.1/AB050781.1,8,8,2002/01/05,2008/07/10,Complete Genome
Tobacco vein clearing virus,107324,PRJNA14150,14150,Retro-transcribing viruses,Caulimoviridae,7.767,27.2,plants, Unknown:NC_003378.1/AF190123.1,4,4,1999/11/15,2010/04/28,Complete Genome
Miscanthus streak virus - [91],268776,PRJNA14151,14151,ssDNA viruses,Geminiviridae,2.672,50.7,plants, Unknown:NC_003379.1/D01030.1,5,5,1993/04/29,2016/07/24,Complete Genome
Rice yellow mottle virus satellite,195056,PRJNA14152,14152,Satellites,unclassified,0.22,63.6,plants, Unknown:NC_003380.1/AF039909.1,2,1,1998/01/10,2016/09/07,Complete Genome
Citrus yellow mosaic virus,174178,PRJNA14153,14153,Retro-transcribing viruses,Caulimoviridae,7.559,43.6,plants, Unknown:NC_003382.1/AF347695.1,6,6,2001/10/25,2016/03/30,Complete Genome
Mycobacterium phage TM4,88870,PRJNA14154,14154,"dsDNA viruses, no RNA stage",Siphoviridae,52.797,68.1,bacteria, Unknown:NC_003387.1/AF068845.1,89,89,1999/02/24,2011/12/19,Complete Genome
Swinepox virus,10276,PRJNA14155,14155,"dsDNA viruses, no RNA stage",Poxviridae,146.454,27.4,vertebrates, Unknown:NC_003389.1/AF410153.1,150,150,2002/01/31,2012/11/22,Complete Genome
Camelpox virus M-96,203173,PRJNA14156,14156,"dsDNA viruses, no RNA stage",Poxviridae,205.719,33.2,vertebrates, Unknown:NC_003391.1/AF438165.1,211,211,2002/02/04,2012/11/22,Complete Genome
Human gammaherpesvirus 8,37296,PRJNA14158,14158,"dsDNA viruses, no RNA stage",Herpesviridae,137.969,53.8,"vertebrates, human", Unknown:NC_009333.1/AF148805.2,96,86,1999/08/02,2010/04/23,Complete Genome
Bhendi yellow vein mosaic virus-[Madurai],221523,PRJNA14159,14159,ssDNA viruses,Geminiviridae,2.741,43.2,plants, Unknown:NC_003418.1/AF241479.1,7,7,2000/04/13,2008/12/08,Complete Genome
Methanobacterium phage psiM2,77048,PRJNA14160,14160,"dsDNA viruses, no RNA stage",Siphoviridae,26.111,46.3,archaea, Unknown:NC_001902.1/AF065411.1,32,32,1998/06/24,2015/02/10,Complete Genome
Spiroplasma phage 4,10855,PRJNA14161,14161,ssDNA viruses,Microviridae,4.421,32.1,bacteria, Unknown:NC_003438.1/M17988.1,9,9,1988/12/15,2015/02/10,Complete Genome
Enterobacteria phage SfV,55884,PRJNA14162,14162,"dsDNA viruses, no RNA stage",Myoviridae,37.074,50.8,bacteria, Unknown:NC_003444.1/U82619.2,53,53,1997/10/04,2015/02/10,Complete Genome
Propionibacterium phage B5,189836,PRJNA14163,14163,ssDNA viruses,Inoviridae,5.804,64.3,bacteria, Unknown:NC_003460.1/AF428260.1,10,10,2002/03/21,2009/05/06,Complete Genome
Atkinsonella hypoxylon virus,37961,PRJNA14164,14164,dsRNA viruses,Partitiviridae,6.105,39.9797,plants, segment 1:NC_003470.1/L39125.1;  segment 2:NC_003471.1/L39126.1;  segment 3:NC_003472.1/L39127.1,2,2,1995/01/27,2015/10/20,Complete Genome
Bean calico mosaic virus,31602,PRJNA14165,14165,ssDNA viruses,Geminiviridae,5.175,41.1617,plants, DNA A:NC_003504.1/AF110189.1;  DNA B:NC_003505.1/AF110190.1,7,7,1999/04/04,2015/02/10,Complete Genome
Clostridium phage phi3626,190478,PRJNA14166,14166,"dsDNA viruses, no RNA stage",Siphoviridae,33.507,28.4,bacteria, Unknown:NC_003524.1/AY082070.1,50,50,2002/04/02,2008/07/10,Complete Genome
Mamestra configurata nucleopolyhedrovirus A,207830,PRJNA14168,14168,"dsDNA viruses, no RNA stage",Baculoviridae,155.06,41.7,invertebrates, Unknown:NC_003529.1/U59461.2,169,169,1997/03/29,2010/04/28,Complete Genome
Cereal yellow dwarf virus-RPV satellite RNA,191032,PRJNA14169,14169,Satellites,unclassified,0.322,50,plants, Unknown:NC_003533.1/M63666.1,-,-,1991/07/31,2015/02/10,Complete Genome
Eupatorium yellow vein mosaic virus,186637,PRJNA14171,14171,ssDNA viruses,Geminiviridae,2.766,42.8,plants, Unknown:NC_003556.1/AB007990.1,6,6,2000/08/01,2015/02/10,Complete Genome
Honeysuckle yellow vein mosaic virus,180587,PRJNA14172,14172,ssDNA viruses,Geminiviridae,2.757,43.8,plants, Unknown:NC_003609.1/AB020781.1,6,6,2000/08/01,2015/02/10,Complete Genome
Milk vetch dwarf virus,67585,PRJNA14173,14173,ssDNA viruses,Nanoviridae,7.911,39.5075,plants, DNA 11:NC_003648.1/AB027511.1;  DNA 5:NC_003642.1/AB000924.1;  DNA 6:NC_003643.1/AB000925.1;  DNA 7:NC_003644.1/AB000926.1;  DNA 8:NC_003645.1/AB000927.1;  DNA 9:NC_003646.1/AB009046.1;  DNA-C:NC_003641.1/AB000923.1;  DNA-U4:NC_023626.1/AB255373.1,8,8,1998/10/27,2015/10/20,Complete Genome
Cowpox virus,10243,PRJNA14174,14174,"dsDNA viruses, no RNA stage",Poxviridae,224.499,33.4,"vertebrates, human", Unknown:NC_003663.2/AF482758.2,233,233,2002/04/16,2016/01/28,Complete Genome
Tomato chlorotic mottle virus-[Brazil],223338,PRJNA14175,14175,ssDNA viruses,Geminiviridae,5.195,41.1255,plants, DNA A:NC_003664.1/AF490004.1;  DNA B:NC_003665.1/AF491306.1,7,7,2002/04/15,2008/12/08,Complete Genome
Watermelon chlorotic stunt virus,35341,PRJNA14176,14176,ssDNA viruses,Geminiviridae,2.753,47.1,plants, DNA B:NC_003709.1/AJ012082.1,2,2,2000/12/13,2008/12/08,Complete Genome
Sugarcane streak virus - [Natal],268781,PRJNA14177,14177,ssDNA viruses,Geminiviridae,2.758,50.7,plants, Unknown:NC_003744.1/M82918.1,3,3,1993/08/03,2008/12/08,Complete Genome
Spiroplasma phage 1-C74,185959,PRJNA14178,14178,ssDNA viruses,Inoviridae,7.768,23.2,bacteria, Unknown:NC_003793.1/U28974.1,13,13,1996/01/01,2008/07/16,Complete Genome
South African cassava mosaic virus,63723,PRJNA14179,14179,ssDNA viruses,Geminiviridae,5.56,44.9115,plants, DNA A:NC_003803.1/AF155806.1;  DNA B:NC_003804.1/AF155807.2,8,8,2000/02/20,2008/07/10,Complete Genome
Tobacco yellow dwarf virus,10830,PRJNA14181,14181,ssDNA viruses,Geminiviridae,2.58,43.4,plants, Unknown:NC_003822.1/M81103.1,4,4,1993/08/03,2008/07/10,Complete Genome
Tomato golden mottle virus,223342,PRJNA14182,14182,ssDNA viruses,Geminiviridae,5.172,41.8625,plants, DNA A:NC_008058.1/DQ520943.1;  DNA B:NC_008057.1/DQ406674.1,7,7,2006/03/25,2015/02/10,Complete Genome
Chino del tomate virus-[IC],222455,PRJNA14183,14183,ssDNA viruses,Geminiviridae,5.213,45.019,plants, DNA A:NC_003830.1/AF101476.1;  DNA B:NC_003831.1/AF101478.1,7,7,1999/03/04,2008/12/08,Complete Genome
Solanum nodiflorum mottle virus satellite RNA,195061,PRJNA14184,14184,Satellites,unclassified,0.377,56.2,plants, Unknown:NC_003850.1/J02386.1,-,-,1990/06/15,2008/07/10,Complete Genome
Dicliptera yellow mottle virus,94700,PRJNA14185,14185,ssDNA viruses,Geminiviridae,5.204,39.8541,plants, DNA A:NC_003856.1/AF139168.1;  DNA B:NC_003857.1/AF170101.1,6,6,2000/01/01,2008/07/10,Complete Genome
Melon chlorotic leaf curl virus-[Guatemala],223286,PRJNA300794,300794,ssDNA viruses,Geminiviridae,5.3,42.3036,plants, DNA-A:NC_004732.1/AF325497.1;  DNA-B:NC_028138.1/AF325498.2,6,6,2001/08/02,2015/12/27,Complete Genome
Cabbage leaf curl virus,51336,PRJNA14187,14187,ssDNA viruses,Geminiviridae,5.096,42.7837,plants,chromosome DNA A:NC_003866.1/U65529.2; chromosome DNA B:NC_003887.1/U65530.2,8,7,1996/11/01,2016/03/24,Complete Genome
Tomato mosaic Havana virus-[Quivican],223357,PRJNA14188,14188,ssDNA viruses,Geminiviridae,5.206,43.6608,plants, DNA A:NC_003867.1/Y14874.1;  DNA B:NC_003868.1/Y14875.1,7,7,1998/09/04,2016/07/26,Complete Genome
Tobacco ringspot virus satellite RNA,31504,PRJNA14189,14189,Satellites,unclassified,0.359,54.9,plants, Unknown:NC_003889.1/M14879.1,-,-,1989/06/15,2008/07/10,Complete Genome
Tomato leaf curl Bangalore virus,220608,PRJNA14190,14190,ssDNA viruses,Geminiviridae,2.749,42.3,plants, Unknown:NC_003891.1/Z48182.1,6,6,1995/08/14,2008/12/08,Complete Genome
Tomato leaf curl virus-[AU],223353,PRJNA14191,14191,ssDNA viruses,Geminiviridae,2.766,43.6,plants, Unknown:NC_003896.1/S53251.1,6,6,1993/05/08,2015/02/10,Complete Genome
Tomato leaf curl Karnataka virus,220932,PRJNA14192,14192,ssDNA viruses,Geminiviridae,2.759,42.5,plants, Unknown:NC_003897.1/U38239.1,6,6,1995/10/24,2008/12/08,Complete Genome
Tomato leaf curl Taiwan virus,196093,PRJNA14193,14193,ssDNA viruses,Geminiviridae,2.739,41.9,plants, Unknown:NC_003898.1/U88692.1,6,6,1997/06/12,2008/12/08,Complete Genome
Velvet tobacco mottle virus Satellite RNA,196095,PRJNA14194,14194,Satellites,unclassified,0.366,55.7,plants, Unknown:NC_003906.1/J02439.1,-,-,1987/05/20,2008/07/10,Complete Genome
Thetapapillomavirus 1,197772,PRJNA14195,14195,"dsDNA viruses, no RNA stage",Papillomaviridae,7.304,49.3,vertebrates, Unknown:NC_003973.1/AF502599.1,6,6,2002/06/02,2010/03/26,Complete Genome
Sheeppox virus 17077-99,376848,PRJNA14196,14196,"dsDNA viruses, no RNA stage",Poxviridae,149.955,25,vertebrates, Unknown:NC_004002.1/AY077832.1,148,148,2002/06/05,2015/02/10,Complete Genome
Goatpox virus Pellor,376852,PRJNA14197,14197,"dsDNA viruses, no RNA stage",Poxviridae,149.599,25.3,vertebrates, Unknown:NC_004003.1/AY077835.1,150,150,2002/06/05,2012/11/26,Complete Genome
Ovine adenovirus 7,114430,PRJNA14198,14198,"dsDNA viruses, no RNA stage",Adenoviridae,29.576,33.6,vertebrates, Unknown:NC_004037.2/U40839.3,44,30,1996/12/28,2016/03/29,Complete Genome
Bean golden mosaic virus-[Brazil],222444,PRJNA14199,14199,ssDNA viruses,Geminiviridae,2.58,37.6,plants, DNA B:NC_004043.1/M88687.1,2,2,1992/03/17,2015/02/10,Complete Genome
Bean golden yellow mosaic virus-[Puerto Rico-Japan],222449,PRJNA14200,14200,ssDNA viruses,Geminiviridae,5.232,39.432,plants, DNA A:NC_001439.1/D00201.1;  DNA B:NC_001438.1/D00200.1,8,8,1993/04/29,2008/12/08,Complete Genome
Satellites of Trichomonas vaginalis T1 virus,198608,PRJNA14201,14201,Satellites,unclassified,0.497,48.1,protozoa, Unknown:NC_004048.1/U15991.1,1,-,1995/09/14,2009/11/23,Complete Genome
Phthorimaea operculella granulovirus,192584,PRJNA14202,14202,"dsDNA viruses, no RNA stage",Baculoviridae,119.217,35.7,invertebrates, Unknown:NC_004062.1/AF499596.1,130,130,2002/07/01,2009/11/30,Complete Genome
Mycobacterium phage D29,28369,PRJNA14203,14203,"dsDNA viruses, no RNA stage",Siphoviridae,49.136,63.5,bacteria, Unknown:NC_001900.1/AF022214.1,84,79,1998/06/02,2015/02/10,Complete Genome
Escherichia virus Lambda,10710,PRJNA14204,14204,"dsDNA viruses, no RNA stage",Siphoviridae,48.502,49.9,bacteria, Unknown:NC_001416.1/J02459.1,92,73,1993/04/28,2011/03/11,Complete Genome
Etapapillomavirus 1,197771,PRJNA14205,14205,"dsDNA viruses, no RNA stage",Papillomaviridae,7.729,47.7,vertebrates, Unknown:NC_004068.1/AY057109.1,6,6,2002/07/10,2010/03/26,Complete Genome
Hollyhock leaf crumple virus-[Cairo],223279,PRJNA14206,14206,ssDNA viruses,Geminiviridae,2.755,43,plants, Unknown:NC_004071.1/AY036009.1,6,6,2002/01/08,2008/12/08,Complete Genome
Natrialba phage PhiCh1,114777,PRJNA14207,14207,"dsDNA viruses, no RNA stage",Myoviridae,58.498,61.9,archaea, Unknown:NC_004084.1/AF440695.1,98,98,2002/07/30,2008/07/10,Complete Genome
Hollyhock leaf crumple virus satellite DNA,169696,PRJNA14208,14208,Satellites,unclassified,0.741,39.1,plants, Unknown:NC_004092.1/AF397214.1,-,-,2002/08/02,2008/12/08,Complete Genome
OkLCV satDNA 10,186810,PRJNA14209,14209,Satellites,Tolecusatellitidae,1.305,37.5,plants, Unknown:NC_004093.1/AF397215.1,1,1,2002/08/02,2008/12/08,Complete Genome
Pepper golden mosaic virus,223301,PRJNA14210,14210,ssDNA viruses,Geminiviridae,5.208,44.0052,plants, DNA A:NC_004101.1/U57457.1;  DNA B:NC_004096.1/AF499442.1,6,6,1996/06/12,2008/12/08,Complete Genome
Ectromelia virus,12643,PRJNA14211,14211,"dsDNA viruses, no RNA stage",Poxviridae,209.771,33.2,vertebrates, Unknown:NC_004105.1/AF012825.2,173,173,1999/01/01,2012/11/22,Complete Genome
Woodchuck hepatitis virus,35269,PRJNA14212,14212,Retro-transcribing viruses,Hepadnaviridae,3.323,44.5,vertebrates, Unknown:NC_004107.1/M18752.1,4,4,1993/08/03,2009/11/30,Complete Genome
Papaya leaf curl virus,53260,PRJNA14213,14213,ssDNA viruses,Geminiviridae,2.746,40.9,plants, Unknown:NC_004147.1/Y15934.1,7,7,1998/01/28,2015/02/10,Complete Genome
Tomato leaf curl Vietnam virus,208177,PRJNA14214,14214,ssDNA viruses,Geminiviridae,2.745,42.7,plants, Unknown:NC_004153.1/AF264063.1,6,6,2001/06/02,2010/03/11,Complete Genome
Helicoverpa zea nudivirus 2,1128424,PRJNA14215,14215,"dsDNA viruses, no RNA stage",Nudiviridae,231.621,41.9,plants, Unknown:NC_004156.2/JN418988.1,113,113,2002/08/30,2012/03/09,Complete Genome
Bacillus virus B103,10778,PRJNA14216,14216,"dsDNA viruses, no RNA stage",Podoviridae,18.63,37.7,bacteria, Unknown:NC_004165.1/X99260.1,17,17,1996/07/13,2015/02/10,Complete Genome
Bacillus phage phi105,10717,PRJNA14217,14217,"dsDNA viruses, no RNA stage",Siphoviridae,39.325,42.7,bacteria, Unknown:NC_004167.1/AB016282.1,51,51,1999/01/08,2016/03/30,Complete Genome
Pepper leaf curl Bangladesh virus,223305,PRJNA14218,14218,ssDNA viruses,Geminiviridae,2.753,44.5,plants, Unknown:NC_004192.1/AF314531.1,6,6,2001/02/11,2010/01/28,Complete Genome
Galleria mellonella densovirus,37138,PRJNA14221,14221,ssDNA viruses,Parvoviridae,6.039,36.4,invertebrates, Unknown:NC_004286.1/L32896.1,2,7,1994/10/01,2015/02/10,Complete Genome
Casphalia extranea densovirus,180586,PRJNA14222,14222,ssDNA viruses,Parvoviridae,5.002,37.8,invertebrates, Unknown:NC_004288.1/AF375296.1,3,3,2002/01/01,2009/05/06,Complete Genome
Planococcus citri densovirus,159153,PRJNA14223,14223,ssDNA viruses,Parvoviridae,5.38,37.6,invertebrates, Unknown:NC_004289.1/AY032882.1,4,4,2002/01/16,2010/03/11,Complete Genome
Human erythrovirus V9,72197,PRJNA14224,14224,ssDNA viruses,Parvoviridae,5.028,42.1,vertebrates, Unknown:NC_004295.1/AJ249437.1,6,6,2001/09/30,2011/02/04,Complete Genome
Lactococcus phage r1t,43685,PRJNA14225,14225,"dsDNA viruses, no RNA stage",Siphoviridae,33.35,35.5,bacteria, Unknown:NC_004302.1/U38906.1,50,50,1996/06/05,2016/07/19,Complete Genome
Streptococcus phage O1205,85154,PRJNA14226,14226,"dsDNA viruses, no RNA stage",Siphoviridae,43.075,38.3,bacteria, Unknown:NC_004303.1/U88974.1,57,57,1997/09/30,2009/05/06,Complete Genome
Vibrio virus fs1,70203,PRJNA14227,14227,ssDNA viruses,Inoviridae,6.34,43.4,bacteria, Unknown:NC_004306.1/D89074.1,15,15,1998/01/08,2015/02/10,Complete Genome
Salmonella phage ST64B,175950,PRJNA14228,14228,"dsDNA viruses, no RNA stage",unclassified,40.149,51,bacteria, Unknown:NC_004313.1/AY055382.1,56,56,2002/09/30,2015/02/10,Complete Genome
Salmonella phage ST64T,173443,PRJNA14230,14230,"dsDNA viruses, no RNA stage",Podoviridae,40.679,47.5,bacteria, Unknown:NC_004348.1/AY052766.1,65,65,2002/10/22,2013/08/27,Complete Genome
Haemophilus phage HP2,157239,PRJNA14231,14231,"dsDNA viruses, no RNA stage",Myoviridae,31.508,39.9,bacteria, Unknown:NC_003315.1/AY027935.1,37,37,2001/04/22,2015/02/10,Complete Genome
Taro bacilliform virus,178354,PRJNA14233,14233,Retro-transcribing viruses,Caulimoviridae,7.458,39.3,plants, Unknown:NC_004450.1/AF357836.1,3,3,2002/11/28,2016/03/30,Complete Genome
Vibrio phage VHML,207597,PRJNA14234,14234,"dsDNA viruses, no RNA stage",Myoviridae,43.198,50.6,bacteria, Unknown:NC_004456.1/AY133112.1,57,57,2002/12/14,2010/03/26,Complete Genome
